difficulty,seed,strategy,mean_combined_risk,peak_combined_risk,mean_resistance,peak_resistance,mean_push_force,peak_push_force,minimum_velocity,mean_velocity,mean_buckling_risk,peak_buckling_risk,mean_kickback,peak_kickback
moderate,11001,Fixed Flexible,0.5929715089610404,0.6983352066856918,0.5906320004963654,1.0469374402864435,0.16995936236358422,0.21871569416475226,1.4946939299121282,1.955896847890345,0.5929715089610404,0.6983352066856918,0.457729530245163,0.6314166069836227
moderate,11001,Balanced V2,0.5249927226734069,0.6935266122125505,0.611621954272009,1.0844178358918148,0.17220214332023304,0.22272048228433988,1.4678174952369831,1.9448301152789023,0.5249927226734069,0.6935266122125505,0.4650848175529809,0.6449951708745427
moderate,11001,Rate-Limited AI,0.5036482068677681,0.7134969244154616,0.6201083205999233,0.9819470527473034,0.1731089133395876,0.21177145764589209,1.5437067113700065,1.93366223857951,0.5035539385770763,0.7134969244154616,0.4684769506465507,0.6077210082980088
moderate,11002,Fixed Flexible,0.6320566241937887,0.7585589903389729,0.730704441122045,1.2856252239973376,0.19625595335837148,0.25918206869841093,1.4230525858160963,1.909919774674742,0.6320566241937887,0.7585589903389729,0.5201778957570151,0.7316197191839093
moderate,11002,Balanced V2,0.5534855252656302,0.7625669185521307,0.7442087970906874,1.3707123444570375,0.19778730105249218,0.26883065660722266,1.3719778752663636,1.9113510756162335,0.5502544322869025,0.7508928113904901,0.5244934986681786,0.7625669185521307
moderate,11002,Rate-Limited AI,0.5423039563627721,0.7709882014873213,0.7286723323543357,1.165494543307787,0.1960255191871411,0.24555966113641678,1.5019963431760126,1.9212491771590416,0.5395080559147719,0.7709882014873213,0.5188069435057568,0.6874996551455844
moderate,11003,Fixed Flexible,0.5607903013566995,0.728048321113956,0.7361418745573616,1.437245523080117,0.1771362396264465,0.24866890968508776,1.6804510667495705,2.433889766645432,0.5607162982537867,0.7220190779061963,0.46288837046746073,0.728048321113956
moderate,11003,Balanced V2,0.49888694919694776,0.7591424655511905,0.7599527765150833,1.5254242031332208,0.17956563419189933,0.25766566278961883,1.6217757927991725,2.4294742525139092,0.4925918484942322,0.7203988351828977,0.47057044069721937,0.7591424655511905
moderate,11003,Rate-Limited AI,0.48075858310776226,0.7254482185134009,0.7332712032900882,1.2676381629739089,0.1768433488662267,0.23136409697222002,1.8061399327568652,2.447969922845735,0.4779687635726338,0.7254482185134009,0.4611154722195427,0.6674383953527566
moderate,11004,Fixed Flexible,0.4949793938786493,0.5498071492789464,0.47461108719549544,0.6510767767374501,0.16413496040602632,0.18377687766644563,2.6597564298245464,2.987053942812028,0.4949793938786493,0.5498071492789464,0.3652126827081617,0.44273949595361384
moderate,11004,Balanced V2,0.3673190448122569,0.48047410038489613,0.45750349363606985,0.7150201519219677,0.16223076056926863,0.19089424131932523,2.5605891966575727,3.0362257895389324,0.36182542417436836,0.48047410038489613,0.3566066802991539,0.4696173568876797
moderate,11004,Rate-Limited AI,0.3621208105068146,0.4895765906675259,0.45794827597900833,0.7039633110790127,0.1622802680854412,0.18966353435548047,2.577204593848082,3.03533713631303,0.35509419135319803,0.4895765906675259,0.3568060680573503,0.46500300479729606
moderate,11005,Fixed Flexible,0.4435831754393274,0.5195721242924032,0.5405803233384479,0.8258200638808576,0.13247011414094442,0.15699706701368035,2.597226267342902,3.0919273533173155,0.4435831754393274,0.5195721242924032,0.3279829158564887,0.4415212921551258
moderate,11005,Balanced V2,0.3228671932915883,0.4912549505534867,0.510463160582766,0.9074975217892458,0.12988042509493541,0.16402027898643862,2.486015198019742,3.1717018981886294,0.30930623403507557,0.4912549505534867,0.3142735845917753,0.47212982175213564
moderate,11005,Rate-Limited AI,0.31702838003689154,0.48234096148057626,0.5168856243534822,0.9350994446091712,0.1304326744621928,0.16639368971424898,2.4505551084537704,3.161589024773331,0.28845869294859056,0.45743468096262707,0.31676590282978334,0.48234096148057626
moderate,11006,Fixed Flexible,0.4989757545947188,0.5554286409253588,0.43221547356110723,0.6173022504001817,0.15652933920541517,0.17675779742912417,2.488553397868268,2.8254860687143024,0.4989757545947188,0.5554286409253588,0.3577506141857701,0.43817036969209733
moderate,11006,Balanced V2,0.3879460301532705,0.4968647822715754,0.43718531123465626,0.7001595858852248,0.15707250147489166,0.18581342083999763,2.367273663029579,2.8362800018585985,0.3875680018038949,0.4968647822715754,0.3586699313164246,0.4723245513772292
moderate,11006,Rate-Limited AI,0.37473660650199503,0.5010036801911992,0.4428669398983402,0.697988988550423,0.15769345662916445,0.18557619245308965,2.3702998298294626,2.826562281962936,0.3743712425004622,0.5010036801911992,0.3610995140317453,0.4714392569027688
moderate,11007,Fixed Flexible,0.4619738890929858,0.6122158542508347,0.6222650747031322,1.2541808103968848,0.1420596115591934,0.1973956385443172,2.154038062570532,3.027873443648823,0.4619738890929858,0.6122158542508347,0.35906711325725454,0.5980484476345529
moderate,11007,Balanced V2,0.3640278158443382,0.6265455986015679,0.6157313939968951,1.3357419484810527,0.14148746576276758,0.2045378397636111,2.078821793078897,3.0647646836663127,0.3528267945295545,0.6033202127904114,0.3548551555706689,0.6265455986015679
moderate,11007,Rate-Limited AI,0.35687292707387613,0.6222128809488626,0.6198498066611338,1.323280219832937,0.1418481097243774,0.2034465826326325,2.0899722831799146,3.05876582029296,0.32680130369020255,0.6077277864511574,0.35643166536322496,0.6222128809488626
moderate,11008,Fixed Flexible,0.5119921253508886,0.6157582344255317,0.5138172811931102,0.8836533844995524,0.1627668733963047,0.20253195399891097,2.191821381786853,2.771775685838297,0.5119921253508886,0.6157582344255317,0.38370454170564033,0.5376931112576246
moderate,11008,Balanced V2,0.45121985591132185,0.6079791270179169,0.5288172392031922,0.9288399557055527,0.16437968116162008,0.20739045112803836,2.1404739941272495,2.76723799129346,0.45107083397731573,0.6079791270179169,0.3887635506202109,0.5552879691195698
moderate,11008,Rate-Limited AI,0.4183577936969495,0.6054591431026785,0.5423656413466921,0.9444021461075532,0.16583641645180996,0.20906371058041773,2.12334252576623,2.7475040762934406,0.4180836152600705,0.6054591431026785,0.3943102044030777,0.5613130818156561
moderate,11009,Fixed Flexible,0.4872349501476515,0.5394374682556116,0.36154749321047935,0.5389108201275723,0.13846298613441335,0.15650000357092403,2.3626194648261394,2.6843698822655186,0.4872349501476515,0.5394374682556116,0.3301150085161234,0.4053123483985902
moderate,11009,Balanced V2,0.34899272509961743,0.4673412536908472,0.332642947811634,0.5970295816552489,0.13552352960517777,0.16241040868839865,2.276639518784965,2.76556073570232,0.34899272509961743,0.4673412536908472,0.31606300935921133,0.4287374184501398
moderate,11009,Rate-Limited AI,0.33097065631168976,0.4573633997614016,0.34257732949670433,0.6226349420917281,0.13653380956997752,0.16501435360017178,2.24071389315578,2.7503858155868692,0.3289488205627856,0.4573633997614016,0.3200969986143807,0.43893563467737856
